,p.val,fc,log2fc,auc.mat,log10p,species,significant
Paeniclostridium.sordellii..r_03149.,0.033534904,0,0,0.543859649,1.474502936,Paeniclostridium.sordellii..r_03149.,not sig
Selenomonas.sputigena..r_06365.,0.033534904,0,0,0.543859649,1.474502936,Selenomonas.sputigena..r_06365.,not sig
Streptococcus.anginosus.intermedius..r_00567.,0.034152033,0.907660613,-0.13977514,0.602807018,1.466583439,Streptococcus.anginosus.intermedius..r_00567.,not sig
Lachnospiraceae.species...m_12240.,0.035666993,-0.842299613,0.247594591,0.382105263,1.447733506,Lachnospiraceae.species...m_12240.,not sig
Bacteroidales.species...m_13655.,0.036577771,-0.230866513,2.11486917,0.449473684,1.436782767,Bacteroidales.species...m_13655.,not sig
Clostridium.sp...r_03622.,0.037608841,0.907492383,-0.140042561,0.615438596,1.424710045,Clostridium.sp...r_03622.,not sig
Clostridium.species...m_12399.,0.038312183,-0.944529431,0.082332343,0.422280702,1.416663103,Clostridium.species...m_12399.,not sig
Alistipes.putredinis..r_03683.,0.038880172,-0.518108229,0.948674596,0.383859649,1.410271828,Alistipes.putredinis..r_03683.,not sig
Clostridium.sp..CAG.273..m_12673.,0.039631662,-0.872587355,0.196628527,0.419649123,1.401957712,Clostridium.sp..CAG.273..m_12673.,not sig
Streptococcus.infantis..r_00305.,0.040774346,0.588264986,-0.765461928,0.573333333,1.389612992,Streptococcus.infantis..r_00305.,not sig
Clostridiales.species...m_13729.,0.041543701,-0.731374811,0.451317154,0.42877193,1.381494812,Clostridiales.species...m_13729.,not sig
Peptostreptococcaceae.species...m_12337.,0.042025606,0.179580133,-2.477300342,0.552280702,1.37648602,Peptostreptococcaceae.species...m_12337.,not sig
Actinobacteria.sp...r_02041.,0.042303242,0.925401144,-0.111849212,0.6,1.373626345,Actinobacteria.sp...r_02041.,not sig
Clostridiales.species...m_12707.,0.042947229,-0.632711001,0.660381415,0.389824561,1.367064856,Clostridiales.species...m_12707.,not sig
Streptococcus.sp..HPH0090..r_00304.,0.043403844,0.313591757,-1.673040459,0.56,1.362471808,Streptococcus.sp..HPH0090..r_00304.,not sig
Clostridiales.species...m_12253.,0.043773812,-1.223722528,-0.291276472,0.400701754,1.35878563,Clostridiales.species...m_12253.,not sig
Streptococcus.peroris..r_00300.,0.044868792,0.167543643,-2.577391147,0.551578947,1.348055622,Streptococcus.peroris..r_00300.,not sig
Prevotella.oris..r_02399.,0.04635017,0.180509991,-2.469849406,0.55122807,1.333948669,Prevotella.oris..r_02399.,not sig
Anaeromassilibacillus.sp...r_05237.,0.0478638,-0.688288795,0.538914072,0.424210526,1.31999282,Anaeromassilibacillus.sp...r_05237.,not sig
Campylobacter.concisus..r_03518.,0.04796535,0.595728001,-0.747274323,0.569122807,1.319072378,Campylobacter.concisus..r_03518.,not sig
Firmicutes.species...m_12923.,0.048655565,-0.24242363,2.044397763,0.446491228,1.312867477,Firmicutes.species...m_12923.,not sig
Eubacterium.species...m_12474.,0.048814726,-0.722539342,0.468851951,0.417719298,1.311449145,Eubacterium.species...m_12474.,not sig
Bacteria.species...m_12444.,0.049112839,0.589436956,-0.762590578,0.56877193,1.308804963,Bacteria.species...m_12444.,not sig
Actinobaculum.sp..oral.taxon.183..r_07446.,0.049436655,0.173784009,-2.524632755,0.550526316,1.305950923,Actinobaculum.sp..oral.taxon.183..r_07446.,not sig
Anaerostipes.hadrus..r_00857.,0.049767022,-0.68355328,0.548874301,0.389649123,1.303058346,Anaerostipes.hadrus..r_00857.,not sig
Prevotella.melaninogenica..r_02795.,0.04992908,0.315087697,-1.666174673,0.558245614,1.30164644,Prevotella.melaninogenica..r_02795.,not sig
Bacteria.species...m_13483.,0.051043448,0.173784009,-2.524632755,0.550175439,1.292059995,Bacteria.species...m_13483.,not sig
Bacteroides.bouchesdurhonensis.faecichinchillae..r_03487.,0.051043448,0.232935528,-2.101997394,0.550175439,1.292059995,Bacteroides.bouchesdurhonensis.faecichinchillae..r_03487.,not sig
Clostridiales.species...m_13749.,0.051328308,-0.432388719,1.209599211,0.442105263,1.289643053,Clostridiales.species...m_13749.,not sig
Veillonella.tobetsuensis..r_01942.,0.051477004,0.721272518,-0.471383639,0.568070175,1.28838674,Veillonella.tobetsuensis..r_01942.,not sig
Clostridiales.species...m_12774.,0.052545563,-0.977198052,0.033277107,0.410701754,1.279463951,Clostridiales.species...m_12774.,not sig
Clostridium.phoceensis..r_08865.,0.052917505,-0.978416782,0.031478945,0.391929825,1.276400644,Clostridium.phoceensis..r_08865.,not sig
uncultured.Eubacterium.sp...m_13514.,0.053111959,-0.798875898,0.32395669,0.396491228,1.274807677,uncultured.Eubacterium.sp...m_13514.,not sig
Streptococcus.oralis.mitis..r_00292.,0.053495473,0.657548947,-0.604829805,0.57245614,1.271682965,Streptococcus.oralis.mitis..r_00292.,not sig
Clostridiales.species...m_12452.,0.054953724,-1.190854757,-0.251997465,0.4,1.26000287,Clostridiales.species...m_12452.,not sig
Alistipes.timonensis..r_01015.,0.056333299,0.583938499,-0.776111663,0.568421053,1.249234813,Alistipes.timonensis..r_01015.,not sig
Alloprevotella.tannerae..r_11629.,0.058714507,0,0,0.535087719,1.23125458,Alloprevotella.tannerae..r_11629.,not sig
Atopobium.sp..oral.taxon.199..r_07347.,0.058714507,0,0,0.535087719,1.23125458,Atopobium.sp..oral.taxon.199..r_07347.,not sig
Bacteria.species...m_12734.,0.058714507,0,0,0.535087719,1.23125458,Bacteria.species...m_12734.,not sig
Bacteria.species...m_13402.,0.058714507,0,0,0.535087719,1.23125458,Bacteria.species...m_13402.,not sig
Bacteria.species...m_14453.,0.058714507,0,0,0.535087719,1.23125458,Bacteria.species...m_14453.,not sig
Campylobacter.concisus..r_03519.,0.058714507,0,0,0.535087719,1.23125458,Campylobacter.concisus..r_03519.,not sig
Campylobacter.concisus..r_03522.,0.058714507,0,0,0.535087719,1.23125458,Campylobacter.concisus..r_03522.,not sig
Campylobacter.gracilis..m_13748.,0.058714507,0,0,0.535087719,1.23125458,Campylobacter.gracilis..m_13748.,not sig
Campylobacter.showae..r_01582.,0.058714507,0,0,0.535087719,1.23125458,Campylobacter.showae..r_01582.,not sig
Campylobacter.species...m_14273.,0.058714507,0,0,0.535087719,1.23125458,Campylobacter.species...m_14273.,not sig
Campylobacter.species...m_14360.,0.058714507,0,0,0.535087719,1.23125458,Campylobacter.species...m_14360.,not sig
Clostridiales.species...m_12486.,0.058714507,0,0,0.535087719,1.23125458,Clostridiales.species...m_12486.,not sig
Cutibacterium.acnes..r_00800.,0.058714507,0,0,0.535087719,1.23125458,Cutibacterium.acnes..r_00800.,not sig
Eggerthella.sp..CAG.298..r_07670.,0.058714507,0,0,0.535087719,1.23125458,Eggerthella.sp..CAG.298..r_07670.,not sig
Flavobacteriaceae.species...m_12274.,0.058714507,0,0,0.535087719,1.23125458,Flavobacteriaceae.species...m_12274.,not sig
Leptotrichia.massiliensis..r_02297.,0.058714507,0,0,0.535087719,1.23125458,Leptotrichia.massiliensis..r_02297.,not sig
Leptotrichia.shahii..r_02303.,0.058714507,0,0,0.535087719,1.23125458,Leptotrichia.shahii..r_02303.,not sig
Leptotrichia.species...m_12360.,0.058714507,0,0,0.535087719,1.23125458,Leptotrichia.species...m_12360.,not sig
Morganella.morganii..r_02508.,0.058714507,0,0,0.535087719,1.23125458,Morganella.morganii..r_02508.,not sig
Neisseria.meningitidis..r_01539.,0.058714507,0,0,0.535087719,1.23125458,Neisseria.meningitidis..r_01539.,not sig
Prevotella.phocaeensis.oralis..r_01590.,0.058714507,0,0,0.535087719,1.23125458,Prevotella.phocaeensis.oralis..r_01590.,not sig
Prevotella.species...m_12429.,0.058714507,0,0,0.535087719,1.23125458,Prevotella.species...m_12429.,not sig
Roseburia.species...m_13251.,0.058714507,0,0,0.535087719,1.23125458,Roseburia.species...m_13251.,not sig
Selenomonas.noxia..r_06382.,0.058714507,0,0,0.535087719,1.23125458,Selenomonas.noxia..r_06382.,not sig
Selenomonas.sp..oral.taxon.920..r_10294.,0.058714507,0,0,0.535087719,1.23125458,Selenomonas.sp..oral.taxon.920..r_10294.,not sig
Tannerella.sp..oral.taxon.HOT.286..m_12392.,0.058714507,0,0,0.535087719,1.23125458,Tannerella.sp..oral.taxon.HOT.286..m_12392.,not sig
Clostridiales.species...m_12288.,0.059242303,-0.807257816,0.30889859,0.396842105,1.227368067,Clostridiales.species...m_12288.,not sig
Clostridiales.species...m_12252.,0.060011062,-1.048772994,-0.068702441,0.395087719,1.221768685,Clostridiales.species...m_12252.,not sig
Streptococcus.gordonii.cristatus..r_03970.,0.060756259,1.052757361,0.074172963,0.598947368,1.216408976,Streptococcus.gordonii.cristatus..r_03970.,not sig
Clostridium.sp..CAG.58..r_07640.,0.061253101,-0.636144692,0.65257315,0.396842105,1.212871923,Clostridium.sp..CAG.58..r_07640.,not sig
Clostridiales.species...m_12404.,0.061294928,-0.025693923,5.282429026,0.457894737,1.212575463,Clostridiales.species...m_12404.,not sig
Dehalococcoidales.species...m_12246.,0.061294928,-0.032829242,4.928874751,0.457894737,1.212575463,Dehalococcoidales.species...m_12246.,not sig
Paraprevotella.xylaniphila..r_03699.,0.061394225,-1.029614608,-0.042104427,0.41754386,1.211872481,Paraprevotella.xylaniphila..r_03699.,not sig
Gemella.morbillorum..r_11495.,0.061906374,0.549117163,-0.864814091,0.565263158,1.20826463,Gemella.morbillorum..r_11495.,not sig
Bacteria.sp...r_00077.,0.062452597,0.965432252,-0.050753071,0.586666667,1.2044495,Bacteria.sp...r_00077.,not sig
Acholeplasma.sp..CAG.878..r_07583.,0.063470539,0,0,0.47,1.197427812,Acholeplasma.sp..CAG.878..r_07583.,not sig
Bacteria.species...m_12280.,0.063470539,0,0,0.47,1.197427812,Bacteria.species...m_12280.,not sig
Clostridiales.species...m_12426.,0.063470539,0,0,0.47,1.197427812,Clostridiales.species...m_12426.,not sig
Clostridiales.species...m_13312.,0.063470539,0,0,0.47,1.197427812,Clostridiales.species...m_13312.,not sig
Dehalococcoidales.species...m_13430.,0.063470539,0,0,0.47,1.197427812,Dehalococcoidales.species...m_13430.,not sig
Firmicutes.species...m_12501.,0.063470539,0,0,0.47,1.197427812,Firmicutes.species...m_12501.,not sig
Fusobacterium.ulcerans..r_05384.,0.063470539,0,0,0.47,1.197427812,Fusobacterium.ulcerans..r_05384.,not sig
Porphyromonas.bennonis..r_02368.,0.063470539,0,0,0.47,1.197427812,Porphyromonas.bennonis..r_02368.,not sig
Prevotella.species...m_12427.,0.063470539,0,0,0.47,1.197427812,Prevotella.species...m_12427.,not sig
Ruminococcaceae.species...m_12664.,0.064189121,-0.979301497,0.030175005,0.414736842,1.192538574,Ruminococcaceae.species...m_12664.,not sig
Streptococcus.sp...r_01350.,0.064567448,0.303128983,-1.721996297,0.604035088,1.189986379,Streptococcus.sp...r_01350.,not sig
Dorea.formicigenerans..r_03668.,0.067421734,-0.33448441,1.579989125,0.397192982,1.171200084,Dorea.formicigenerans..r_03668.,not sig
Clostridia.species...m_14185.,0.067743729,0.666769115,-0.584740815,0.563859649,1.169130899,Clostridia.species...m_14185.,not sig
X.Clostridium..glycyrrhizinilyticum..r_03672.,0.068005126,-0.974308717,0.037549122,0.411403509,1.167458353,X.Clostridium..glycyrrhizinilyticum..r_03672.,not sig
Blautia.producta..r_02151.,0.068094317,-0.022287916,5.487594461,0.458947368,1.166889133,Blautia.producta..r_02151.,not sig
Oribacterium.sinus..r_11576.,0.06818224,0.179195353,-2.480394866,0.551929825,1.166328735,Oribacterium.sinus..r_11576.,not sig
X.Clostridium..clostridioforme..r_03443.,0.06944266,0.409547876,-1.287895983,0.558070175,1.158373653,X.Clostridium..clostridioforme..r_03443.,not sig
Holdemanella.biformis..m_12329.,0.069599938,-1.072882527,-0.10149212,0.414035088,1.157391146,Holdemanella.biformis..m_12329.,not sig
Clostridiales.species...m_12434.,0.070590783,0.847105693,-0.23938611,0.571929825,1.151252002,Clostridiales.species...m_12434.,not sig
Cloacibacillus.porcorum..r_07330.,0.071006364,0.663157789,-0.592575915,0.570526316,1.148702725,Cloacibacillus.porcorum..r_07330.,not sig
Clostridiales.species...m_13572.,0.071328016,-1.004390525,-0.006320323,0.405614035,1.146739854,Clostridiales.species...m_13572.,not sig
Faecalibacterium.prausnitzii..r_06109.,0.072317836,-0.706882359,0.500457957,0.399649123,1.140754579,Faecalibacterium.prausnitzii..r_06109.,not sig
Adlercreutzia.equolifaciens..r_08094.,0.072457622,-0.71420322,0.485593456,0.40245614,1.139915925,Adlercreutzia.equolifaciens..r_08094.,not sig
Dialister.species...m_12825.,0.072962963,-0.019354455,5.691190542,0.459649123,1.136897535,Dialister.species...m_12825.,not sig
Clostridiales.sp...r_05137.,0.073783053,-0.423011735,1.241230409,0.400701754,1.132043378,Clostridiales.sp...r_05137.,not sig
Clostridium.sp...r_03606.,0.073909399,-0.674876053,0.567305532,0.434385965,1.131300332,Clostridium.sp...r_03606.,not sig
Clostridium.species...m_13191.,0.07466458,0.479144146,-1.061468351,0.557017544,1.126885373,Clostridium.species...m_13191.,not sig
Neisseria.sp...r_04794.,0.075528245,0.069235391,-3.852346508,0.542982456,1.121890605,Neisseria.sp...r_04794.,not sig
Firmicutes.sp...r_03629.,0.075534332,0.874047352,-0.194216654,0.585614035,1.121855609,Firmicutes.sp...r_03629.,not sig
Christensenella.massiliensis..r_10002.,0.076069489,-0.523392047,0.934036092,0.439649123,1.118789501,Christensenella.massiliensis..r_10002.,not sig
